timestamp,hits
2025-04-16 11:04:06.282700,104
2025-04-16 12:04:06.282700,213
2025-04-16 13:04:06.282700,431
2025-04-16 14:04:06.282700,252
2025-04-16 15:04:06.282700,82
2025-04-16 16:04:06.282700,260
2025-04-16 17:04:06.282700,421
2025-04-16 18:04:06.282700,270
2025-04-16 19:04:06.282700,160
2025-04-16 20:04:06.282700,291
2025-04-16 21:04:06.282700,360
2025-04-16 22:04:06.282700,55
2025-04-16 23:04:06.282700,102
2025-04-17 00:04:06.282700,309
2025-04-17 01:04:06.282700,327
2025-04-17 02:04:06.282700,388
2025-04-17 03:04:06.282700,213
2025-04-17 04:04:06.282700,237
2025-04-17 05:04:06.282700,235
2025-04-17 06:04:06.282700,384
2025-04-17 07:04:06.282700,160
2025-04-17 08:04:06.282700,82
2025-04-17 09:04:06.282700,52
2025-04-17 10:04:06.282700,83
2025-04-17 11:04:06.282700,415
2025-04-17 12:04:06.282700,346
2025-04-17 13:04:06.282700,305
2025-04-17 14:04:06.282700,246
2025-04-17 15:04:06.282700,351
2025-04-17 16:04:06.282700,317
2025-04-17 17:04:06.282700,436
2025-04-17 18:04:06.282700,465
2025-04-17 19:04:06.282700,246
2025-04-17 20:04:06.282700,320
2025-04-17 21:04:06.282700,413
2025-04-17 22:04:06.282700,214
2025-04-17 23:04:06.282700,280
2025-04-18 00:04:06.282700,147
2025-04-18 01:04:06.282700,270
2025-04-18 02:04:06.282700,319
2025-04-18 03:04:06.282700,138
2025-04-18 04:04:06.282700,289
2025-04-18 05:04:06.282700,400
2025-04-18 06:04:06.282700,137
2025-04-18 07:04:06.282700,417
2025-04-18 08:04:06.282700,431
2025-04-18 09:04:06.282700,78
2025-04-18 10:04:06.282700,303
2025-04-18 11:04:06.282700,70
2025-04-18 12:04:06.282700,174
2025-04-18 13:04:06.282700,436
2025-04-18 14:04:06.282700,253
2025-04-18 15:04:06.282700,464
2025-04-18 16:04:06.282700,122
2025-04-18 17:04:06.282700,80
2025-04-18 18:04:06.282700,57
2025-04-18 19:04:06.282700,495
2025-04-18 20:04:06.282700,160
2025-04-18 21:04:06.282700,61
2025-04-18 22:04:06.282700,345
2025-04-18 23:04:06.282700,283
2025-04-19 00:04:06.282700,251
2025-04-19 01:04:06.282700,299
2025-04-19 02:04:06.282700,72
2025-04-19 03:04:06.282700,466
2025-04-19 04:04:06.282700,450
2025-04-19 05:04:06.282700,199
2025-04-19 06:04:06.282700,184
2025-04-19 07:04:06.282700,81
2025-04-19 08:04:06.282700,432
2025-04-19 09:04:06.282700,448
2025-04-19 10:04:06.282700,408
2025-04-19 11:04:06.282700,174
2025-04-19 12:04:06.282700,256
2025-04-19 13:04:06.282700,195
2025-04-19 14:04:06.282700,332
2025-04-19 15:04:06.282700,382
2025-04-19 16:04:06.282700,307
2025-04-19 17:04:06.282700,479
2025-04-19 18:04:06.282700,258
2025-04-19 19:04:06.282700,389
2025-04-19 20:04:06.282700,442
2025-04-19 21:04:06.282700,297
2025-04-19 22:04:06.282700,425
2025-04-19 23:04:06.282700,338
2025-04-20 00:04:06.282700,148
2025-04-20 01:04:06.282700,486
2025-04-20 02:04:06.282700,353
2025-04-20 03:04:06.282700,445
2025-04-20 04:04:06.282700,474
2025-04-20 05:04:06.282700,175
2025-04-20 06:04:06.282700,243
2025-04-20 07:04:06.282700,427
2025-04-20 08:04:06.282700,489
2025-04-20 09:04:06.282700,286
2025-04-20 10:04:06.282700,234
2025-04-20 11:04:06.282700,445
2025-04-20 12:04:06.282700,491
2025-04-20 13:04:06.282700,463
2025-04-20 14:04:06.282700,375
2025-04-20 15:04:06.282700,263
2025-04-20 16:04:06.282700,82
2025-04-20 17:04:06.282700,407
2025-04-20 18:04:06.282700,111
2025-04-20 19:04:06.282700,364
2025-04-20 20:04:06.282700,164
2025-04-20 21:04:06.282700,395
2025-04-20 22:04:06.282700,148
2025-04-20 23:04:06.282700,474
2025-04-21 00:04:06.282700,355
2025-04-21 01:04:06.282700,176
2025-04-21 02:04:06.282700,166
2025-04-21 03:04:06.282700,379
2025-04-21 04:04:06.282700,408
2025-04-21 05:04:06.282700,251
2025-04-21 06:04:06.282700,373
2025-04-21 07:04:06.282700,62
2025-04-21 08:04:06.282700,451
2025-04-21 09:04:06.282700,448
2025-04-21 10:04:06.282700,328
2025-04-21 11:04:06.282700,98
2025-04-21 12:04:06.282700,394
2025-04-21 13:04:06.282700,348
2025-04-21 14:04:06.282700,156
2025-04-21 15:04:06.282700,60
2025-04-21 16:04:06.282700,259
2025-04-21 17:04:06.282700,498
2025-04-21 18:04:06.282700,500
2025-04-21 19:04:06.282700,277
2025-04-21 20:04:06.282700,422
2025-04-21 21:04:06.282700,187
2025-04-21 22:04:06.282700,269
2025-04-21 23:04:06.282700,466
2025-04-22 00:04:06.282700,180
2025-04-22 01:04:06.282700,133
2025-04-22 02:04:06.282700,253
2025-04-22 03:04:06.282700,440
2025-04-22 04:04:06.282700,460
2025-04-22 05:04:06.282700,118
2025-04-22 06:04:06.282700,198
2025-04-22 07:04:06.282700,70
2025-04-22 08:04:06.282700,239
2025-04-22 09:04:06.282700,414
2025-04-22 10:04:06.282700,231
2025-04-22 11:04:06.282700,64
2025-04-22 12:04:06.282700,439
2025-04-22 13:04:06.282700,340
2025-04-22 14:04:06.282700,375
2025-04-22 15:04:06.282700,292
